Date,North (mm),East (mm)
2006-10-08,0.00,0.00
2006-10-09,-0.78,0.26
2006-10-10,0.25,-0.11
2006-10-11,-0.63,-1.18
2006-10-12,1.07,0.74
2006-10-13,-0.15,-0.06
2006-10-19,-0.23,-0.22
2006-10-20,-0.35,0.22
2006-10-21,1.14,-0.77
2006-10-22,1.78,-0.69
2006-10-23,1.76,0.67
2006-10-24,-0.13,0.19
2006-10-25,-0.75,-0.32
2006-10-26,-0.19,-0.07
2006-10-27,2.25,-0.92
2006-10-28,1.59,-0.57
2006-10-29,0.24,-0.73
2006-10-31,0.06,-0.88
2006-11-01,1.56,-0.93
2006-11-02,3.19,-2.86
2006-11-03,-0.36,-1.74
2006-11-04,0.23,-1.23
2006-11-05,2.23,-1.12
2006-11-06,0.95,-1.78
2006-11-07,2.04,-0.07
2006-11-08,2.62,-1.73
2006-11-09,0.83,-0.92
2006-11-10,0.39,-1.77
2006-11-11,-2.44,-1.07
2006-11-12,-0.24,-2.03
2006-11-13,-0.27,-2.31
2006-11-14,1.10,-2.98
2006-11-15,1.43,-1.65
2006-11-16,-0.13,-2.13
2006-11-17,1.11,-1.44
2006-11-18,0.66,-1.43
2006-11-19,-0.56,-2.35
2006-11-20,1.12,-3.12
2006-11-21,0.13,-1.67
2006-11-22,-0.74,-1.65
2006-11-23,1.00,-0.90
2006-11-24,0.56,-2.79
2006-11-25,0.75,-3.20
2006-11-26,-0.16,-3.19
2006-11-27,0.21,-3.99
2006-11-28,0.32,-3.57
2006-11-29,-0.40,-2.45
2006-11-30,-0.07,-2.56
2006-12-01,0.34,-2.39
2006-12-02,0.66,-2.22
2006-12-03,1.29,-2.67
2006-12-04,1.27,-2.44
2006-12-05,0.28,-3.11
2006-12-06,1.42,-2.97
2006-12-07,0.44,-2.75
2006-12-08,1.61,-3.41
2006-12-09,-0.30,-3.64
2006-12-10,-0.86,-3.82
2006-12-11,0.00,-4.47
2006-12-12,-0.30,-3.29
2006-12-13,1.41,-2.35
2006-12-14,1.81,-3.53
2006-12-15,2.39,-3.94
2006-12-16,0.64,-4.03
2006-12-17,1.64,-4.40
2006-12-18,0.91,-3.06
2006-12-19,1.64,-3.94
2006-12-20,0.66,-3.69
2006-12-21,-0.67,-3.78
2006-12-22,0.84,-4.48
2006-12-23,0.97,-2.66
2006-12-24,0.34,-3.55
2006-12-25,-0.57,-3.05
2006-12-26,0.98,-5.40
2006-12-27,1.20,-3.66
2006-12-28,2.18,-3.70
2006-12-29,2.22,-3.99
2006-12-30,1.10,-3.18
2006-12-31,2.77,-3.82
2007-01-01,4.04,-5.31
2007-01-02,1.92,-4.75
2007-01-03,1.59,-3.18
2007-01-04,0.85,-5.02
2007-01-05,1.69,-5.22
2007-01-06,3.65,-3.51
2007-01-07,2.97,-3.44
2007-01-08,2.74,-3.72
2007-01-09,1.22,-2.67
2007-01-10,0.24,-3.84
2007-01-11,2.05,-4.72
2007-01-12,1.51,-4.39
2007-01-13,2.00,-4.34
2007-01-14,2.33,-4.37
2007-01-15,0.77,-3.55
2007-01-16,2.29,-3.69
2007-01-17,3.13,-4.61
2007-01-18,3.66,-4.33
2007-01-19,1.95,-4.49
2007-01-20,1.48,-3.16
2007-01-21,2.84,-2.88
2007-01-22,2.40,-3.24
2007-01-23,3.30,-3.90
2007-01-24,2.77,-4.35
2007-01-25,3.09,-2.96
2007-01-26,1.82,-3.57
2007-01-27,0.16,-3.81
2007-01-28,2.89,-4.35
2007-01-29,1.81,-4.10
2007-01-30,2.54,-3.65
2007-01-31,0.66,-3.79
2007-02-01,1.12,-2.84
2007-02-02,3.45,-2.08
2007-02-03,3.45,-2.84
2007-02-04,3.27,-3.68
2007-02-05,2.66,-2.70
2007-02-06,1.84,-2.00
2007-02-07,1.76,-4.27
2007-02-08,0.87,-3.04
2007-02-09,0.20,-3.87
2007-02-10,3.27,-2.20
2007-02-11,3.31,-2.31
2007-02-12,2.38,-2.42
2007-02-13,1.06,-3.04
2007-02-14,3.50,-2.76
2007-02-15,4.66,-2.82
2007-02-16,5.65,-3.12
2007-02-17,4.33,-2.08
2007-02-18,3.10,-1.96
2007-02-19,2.91,-1.99
2007-02-20,3.68,-3.69
2007-02-21,4.74,-3.46
2007-02-22,2.70,-5.21
2007-02-23,3.31,-4.59
2007-02-24,2.83,-3.95
2007-02-25,1.62,-4.25
2007-02-26,2.53,-3.15
2007-02-27,3.15,-3.72
2007-02-28,2.88,-4.92
2007-03-01,2.56,-3.65
2007-03-02,3.46,-2.68
2007-03-03,4.32,-2.31
2007-03-04,4.87,-2.87
2007-03-05,5.41,-3.59
2007-03-06,4.20,-2.39
2007-03-07,3.29,-2.93
2007-03-08,4.64,-4.03
2007-03-09,5.22,-4.61
2007-03-10,3.76,-4.38
2007-03-11,4.48,-4.30
2007-03-12,5.18,-3.00
2007-03-13,5.24,-3.22
2007-03-14,5.84,-2.59
2007-03-15,4.32,-3.45
2007-03-16,5.91,-4.62
2007-03-17,6.16,-2.86
2007-03-18,3.23,-2.94
2007-03-19,5.04,-3.04
2007-03-20,1.68,-4.37
2007-03-21,4.68,-5.02
2007-03-22,5.24,-4.80
2007-03-23,4.45,-3.54
2007-03-24,3.55,-3.57
2007-03-25,2.66,-3.98
2007-03-27,5.29,-6.00
2007-03-28,4.22,-4.74
2007-03-29,3.16,-3.22
2007-03-30,3.99,-2.93
2007-03-31,5.39,-4.70
2007-04-01,5.13,-4.82
2007-04-02,4.82,-4.43
2007-04-03,4.57,-3.64
2007-04-04,3.55,-3.96
