Date, North (mm), East (mm)
2006-12-05,0.00,0.00
2006-12-06,1.28,0.04
2006-12-07,1.45,0.42
2006-12-08,1.69,0.40
2006-12-09,-0.25,0.71
2006-12-10,-0.03,0.51
2006-12-11,0.96,-0.29
2006-12-12,1.98,0.40
2006-12-13,1.36,-0.15
2006-12-14,1.14,-0.57
2006-12-15,0.28,-0.59
2006-12-16,1.40,-0.39
2006-12-17,0.66,-0.36
2006-12-18,1.50,0.50
2006-12-19,0.50,0.23
2006-12-20,0.13,-0.20
2006-12-21,0.52,0.08
2006-12-22,0.35,-1.04
2006-12-23,1.04,0.63
2006-12-24,0.15,1.03
2006-12-25,0.83,0.80
2006-12-26,2.67,-0.80
2006-12-27,1.87,0.16
2006-12-28,-1.91,2.71
2006-12-29,0.99,0.80
2006-12-30,0.88,-0.09
2006-12-31,0.91,0.27
2007-01-01,-1.85,2.81
2007-01-02,1.72,1.09
2007-01-03,2.16,-0.05
2007-01-04,2.80,0.49
2007-01-05,1.92,1.29
2007-01-06,1.52,0.15
2007-01-07,-0.66,3.00
2007-01-08,1.71,0.21
2007-01-09,0.95,0.32
2007-01-10,1.20,0.23
2007-01-11,1.53,-0.63
2007-01-12,0.02,-0.33
2007-01-13,0.77,0.18
2007-01-14,1.48,-0.12
2007-01-15,0.85,-0.48
2007-01-16,2.00,-0.37
2007-01-17,1.11,0.09
2007-01-18,1.75,0.46
2007-01-19,1.50,0.65
2007-01-20,1.75,0.12
2007-01-21,-0.40,1.25
2007-01-22,1.27,1.16
2007-01-23,1.40,0.41
2007-01-24,1.00,0.73
2007-01-25,1.89,0.50
2007-01-26,0.69,0.16
2007-01-27,0.41,-0.97
2007-01-28,0.87,0.26
2007-01-29,1.09,1.37
2007-01-30,0.80,0.58
2007-01-31,0.73,-0.36
2007-02-01,0.35,0.36
2007-02-02,0.12,1.04
2007-02-03,0.87,0.22
2007-02-04,1.60,0.65
2007-02-05,0.62,0.88
2007-02-06,1.23,0.63
2007-02-07,1.54,0.08
2007-02-08,1.46,0.56
2007-02-09,0.28,0.56
2007-02-10,1.48,0.75
2007-02-11,1.10,-0.01
2007-02-12,0.78,0.50
2007-02-13,0.36,0.31
