PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P093
Station name, HaystackHiCS2007
Begin Date, 2007-03-30
End Date, 2020-08-31
Release Date, 2020-09-01
Source file, P093.cwu.nam14.pos
Offset from source file, 39.30 mm North, -40.05 mm East, -0.09 mm Vertical
Reference position, 36.6060252109 North Latitude, -117.9941453062 East Longitude, 1339.06585 meters elevation
Date,North (mm),East (mm)
2007-03-30,0.00,0.00
2007-03-31,1.01,-0.16
2007-04-01,0.73,-0.69
2007-04-02,0.74,-1.38
2007-04-03,0.27,0.38
2007-04-04,0.65,0.34
2007-04-05,1.14,0.01
2007-04-06,-0.43,-0.33
2007-04-07,0.06,-0.40
2007-04-08,-0.77,-0.27
2007-04-09,0.16,0.03
2007-04-10,0.93,0.92
2007-04-11,0.39,-2.55
2007-04-12,1.20,-1.44
2007-04-13,0.44,0.25
2007-04-14,0.04,-0.02
2007-04-15,0.62,1.03
2007-04-16,2.43,4.96
2007-04-17,1.17,0.45
2007-04-18,-0.15,0.99
2007-04-19,0.87,0.11
2007-04-20,0.68,-1.13
2007-04-21,0.95,-0.11
2007-04-22,-0.17,-0.78
2007-04-23,1.43,-1.62
2007-04-24,0.91,0.42
2007-04-25,1.09,-0.57
2007-04-26,1.36,-0.97
2007-04-27,1.48,-1.19
2007-04-28,2.22,-0.49
2007-04-29,-0.07,-1.21
2007-04-30,1.01,-1.46
2007-05-01,0.99,-1.42
2007-05-02,2.72,0.38
2007-05-03,2.22,2.81
2007-05-04,0.86,-4.38
2007-05-05,1.34,-2.31
2007-05-06,3.70,0.37
2007-05-07,5.86,-0.22
2007-05-08,3.19,-1.21
2007-05-09,2.30,-1.22
2007-05-10,2.91,-1.55
2007-05-11,1.29,-0.65
2007-05-12,1.86,-0.84
2007-05-13,2.88,-0.90
2007-05-14,1.45,-2.08
2007-05-15,1.47,-1.69
2007-05-16,2.24,-0.52
2007-05-17,2.18,-0.75
2007-05-18,2.12,-1.60
2007-05-19,2.11,-2.06
2007-05-20,1.77,-1.17
2007-05-21,1.67,-0.96
2007-05-22,1.66,-1.86
2007-05-23,2.32,-1.13
2007-05-24,1.36,-3.03
2007-05-25,0.93,-1.83
2007-05-26,1.23,-0.22
