Date,North (mm),East (mm)
2007-04-15,0.00,0.00
2007-04-16,1.06,-0.06
2007-04-17,-0.80,1.55
2007-04-18,-1.35,0.63
2007-04-19,0.87,2.22
2007-04-20,1.43,0.10
2007-04-21,1.16,0.51
2007-04-22,0.93,0.17
2007-04-23,0.20,0.01
2007-04-24,1.15,1.38
2007-04-25,0.70,1.00
2007-04-26,0.98,1.88
2007-04-27,2.42,-0.86
2007-04-28,1.79,-0.12
2007-04-29,2.17,0.25
2007-04-30,1.50,1.53
2007-05-01,0.73,0.89
2007-05-02,1.40,0.16
2007-05-03,3.99,-0.29
2007-05-04,1.24,-0.64
2007-05-05,1.93,1.44
2007-05-06,1.07,1.73
2007-05-07,0.89,0.24
2007-05-08,1.52,0.33
2007-05-09,1.27,-0.66
2007-05-10,0.76,2.09
2007-05-11,1.21,1.69
2007-05-12,0.92,0.28
2007-05-13,1.63,-1.22
2007-05-14,2.86,-0.69
2007-05-15,2.47,0.94
2007-05-16,1.24,1.84
2007-05-17,1.46,-0.01
2007-05-18,2.23,0.54
2007-05-19,3.81,-1.02
2007-05-20,2.75,1.41
2007-05-21,2.28,0.98
2007-05-22,3.12,1.82
2007-05-23,2.24,0.14
2007-05-24,2.16,-1.10
2007-05-25,1.29,0.62
2007-05-26,0.47,1.93
2007-05-27,0.25,0.90
2007-05-28,2.00,0.49
2007-05-29,3.22,-0.57
2007-05-30,2.76,-0.48
2007-05-31,0.71,1.04
2007-06-01,1.47,1.21
2007-06-02,0.94,0.89
2007-06-03,3.57,-0.19
2007-06-04,2.67,-0.11
2007-06-05,0.59,1.93
2007-06-06,1.41,0.35
2007-06-07,1.68,0.41
2007-06-08,2.90,0.28
2007-06-09,2.07,0.35
2007-06-10,0.68,-0.25
2007-06-11,2.10,-0.25
2007-06-12,2.60,-0.31
2007-06-13,2.04,0.25
2007-06-14,1.52,-0.34
2007-06-15,2.86,-0.23
2007-06-16,0.47,1.05
2007-06-17,3.72,-1.06
2007-06-18,2.79,-0.67
2007-06-19,1.43,0.87
2007-06-20,1.80,0.62
2007-06-21,0.62,0.15
2007-06-22,2.17,0.57
2007-06-23,3.38,-1.25
2007-06-24,2.04,0.02
2007-06-25,1.59,1.75
2007-06-26,2.72,0.99
2007-06-27,1.35,1.41
2007-06-28,2.66,0.20
2007-06-29,6.19,1.87
2007-06-30,2.01,0.40
2007-07-01,2.06,1.07
2007-07-02,2.39,0.72
2007-07-03,2.06,0.75
