Date,North (mm),East (mm)
2007-09-20,0.00,0.00
2007-09-21,-0.84,2.55
2007-10-13,-4.24,-2.43
2007-10-14,0.28,-0.82
2007-10-15,0.31,-0.40
2007-10-16,1.32,1.42
2007-10-17,0.55,-0.33
2007-10-18,0.56,-0.42
2007-10-19,0.85,-0.34
2007-10-20,-0.15,0.98
2007-10-21,2.87,-0.65
2007-10-22,0.29,-0.66
2007-10-23,1.47,0.48
2007-10-24,0.25,0.55
2007-10-25,0.10,-0.38
2007-10-26,1.55,-0.34
2007-10-27,0.25,-0.72
2007-10-28,1.23,0.01
2007-10-29,0.43,-1.37
2007-10-30,1.10,-0.62
2007-10-31,1.47,-1.20
2007-11-01,2.04,-0.75
2007-11-02,1.48,-0.97
2007-11-03,1.53,-0.40
2007-11-04,0.95,-1.04
2007-11-05,1.98,-1.25
2007-11-06,1.11,-1.69
2007-11-07,1.14,-2.07
2007-11-08,0.06,-2.45
2007-11-09,1.24,-2.25
2007-11-10,1.00,-3.30
2007-11-11,1.73,-2.21
2007-11-12,2.48,-1.55
2007-11-13,2.39,-3.05
2007-11-14,0.34,-2.15
2007-11-15,1.23,-2.05
2007-11-16,2.35,-3.66
2007-11-17,2.22,-2.96
2007-11-18,2.26,-3.24
2007-11-19,3.11,-3.14
2007-11-20,2.83,-2.95
2007-11-21,2.10,-3.42
2007-11-22,2.89,-3.42
2007-11-23,3.99,-3.45
2007-11-24,2.61,-3.90
2007-11-25,2.22,-4.22
2007-11-26,2.34,-3.57
2007-11-27,2.46,-3.75
2007-11-28,3.18,-4.26
2007-11-29,2.38,-4.85
2007-11-30,1.94,-4.74
2007-12-01,2.45,-5.70
2007-12-02,3.66,-4.25
2007-12-03,4.47,-5.11
2007-12-04,1.80,-3.71
2007-12-05,0.85,-3.00
2007-12-06,4.17,-4.58
2007-12-07,4.56,-6.23
2007-12-08,3.06,-4.26
2007-12-09,1.90,-6.75
2007-12-10,4.17,-5.10
2007-12-11,2.31,-4.15
2007-12-12,3.41,-4.57
2007-12-13,4.08,-4.56
2007-12-14,3.48,-4.70
2007-12-15,3.62,-4.25
2007-12-16,3.52,-5.28
2007-12-17,2.86,-5.12
2007-12-18,2.88,-5.67
2007-12-19,2.70,-5.52
2007-12-20,3.82,-4.82
2007-12-21,3.72,-3.71
2007-12-22,4.09,-6.07
2007-12-23,3.00,-4.30
2007-12-24,5.30,-5.51
2007-12-25,3.83,-5.30
2007-12-26,2.20,-4.88
2007-12-27,2.92,-5.83
2007-12-28,3.70,-5.65
2007-12-29,2.81,-6.22
2007-12-30,3.80,-6.23
2007-12-31,4.01,-4.68
2008-01-01,3.44,-6.09
2008-01-02,3.82,-5.95
2008-01-03,2.41,-6.31
