PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P518
Station name, TrepletMtnCS2008
Begin Date, 2008-04-25
End Date, 2020-08-31
Release Date, 2020-09-01
Source file, P518.cwu.nam14.pos
Offset from source file, 170.37 mm North, -151.98 mm East, 3.69 mm Vertical
Reference position, 35.0200341688 North Latitude, -120.0753083329 East Longitude, 1101.79015 meters elevation
Date,North (mm),East (mm)
2008-04-25,0.00,0.00
2008-04-26,1.27,-0.40
2008-04-27,0.20,-1.66
2008-04-28,-0.68,-1.60
2008-04-29,0.52,-0.21
2008-04-30,-0.01,-3.16
2008-05-01,1.03,-1.37
2008-05-02,-0.18,-0.92
2008-05-03,0.60,-1.32
2008-05-04,0.70,-1.63
2008-05-05,-0.10,-2.32
2008-05-06,1.67,-1.39
2008-05-07,1.54,-0.68
2008-05-08,1.20,-3.34
2008-05-09,0.66,-1.87
2008-05-10,1.19,-1.04
2008-05-11,1.00,-1.89
2008-05-12,0.61,-2.43
2008-05-13,0.92,-2.73
2008-05-14,2.94,-2.67
2008-05-15,1.11,-2.30
2008-05-16,1.61,-1.31
2008-05-17,0.98,-3.61
2008-05-18,2.29,-3.54
2008-05-19,2.01,-2.63
2008-05-20,2.04,-3.03
2008-05-21,2.51,-3.05
2008-05-22,2.83,-1.66
2008-05-23,3.44,-1.27
2008-05-24,2.31,-3.21
2008-05-25,2.26,-2.70
2008-05-26,1.69,-2.01
2008-05-27,2.02,-2.17
2008-05-28,2.93,-2.33
2008-05-29,3.63,-2.60
2008-05-30,3.86,-2.52
2008-05-31,5.03,-2.02
2008-06-01,3.18,-3.33
2008-06-02,3.86,-2.52
2008-06-03,4.29,-2.47
2008-06-04,3.93,-2.69
2008-06-05,3.58,-4.50
2008-06-06,3.61,-3.19
2008-06-07,3.51,-3.74
2008-06-08,4.96,-2.27
2008-06-09,3.51,-2.69
2008-06-10,3.81,-4.04
2008-06-11,4.11,-3.69
2008-06-12,2.60,-3.82
2008-06-13,5.74,-2.97
2008-06-14,5.82,-3.51
2008-06-15,4.71,-4.02
2008-06-16,5.63,-4.29
2008-06-17,4.38,-3.22
2008-06-18,5.59,-3.68
2008-06-19,4.78,-3.15
2008-06-20,5.22,-3.41
2008-06-21,7.50,-3.18
2008-06-22,4.83,-3.19
2008-06-23,4.96,-3.85
2008-06-24,5.19,-4.15
2008-06-25,5.71,-4.19
2008-06-26,7.26,-4.29
2008-06-27,6.92,-4.63
2008-06-28,6.38,-5.69
2008-06-29,7.14,-5.32
2008-06-30,5.40,-4.78
2008-07-01,6.99,-4.33
2008-07-02,4.83,-6.85
2008-07-03,4.90,-5.88
2008-07-04,6.68,-4.20
2008-07-05,7.42,-4.81
2008-07-06,6.43,-5.10
2008-07-07,4.64,-5.64
2008-07-08,7.03,-4.61
2008-07-09,7.70,-5.21
2008-07-10,8.18,-4.15
2008-07-11,7.46,-5.02
2008-07-12,7.29,-5.21
2008-07-13,7.90,-5.06
2008-07-14,8.81,-5.73
2008-07-15,7.75,-6.89
2008-07-16,7.91,-5.83
2008-07-17,8.76,-6.04
2008-07-18,9.12,-5.83
2008-07-19,8.61,-5.80
2008-07-20,8.55,-6.25
2008-07-21,8.57,-6.49
2008-07-22,7.82,-6.23
2008-07-23,8.75,-5.78
2008-07-24,8.44,-6.42
2008-07-25,8.81,-6.34
2008-07-26,9.47,-7.57
2008-07-27,8.98,-6.05
2008-07-28,10.25,-6.88
2008-07-29,9.29,-7.03
2008-07-30,8.39,-6.25
2008-07-31,8.94,-7.46
2008-08-01,9.25,-9.20
2008-08-02,10.42,-6.52
2008-08-03,9.82,-9.12
2008-08-04,10.97,-5.59
2008-08-05,10.47,-6.40
2008-08-06,8.66,-7.30
2008-08-07,9.99,-6.64
2008-08-08,10.69,-7.56
2008-08-09,10.89,-8.48
2008-08-10,11.81,-8.25
2008-08-11,10.61,-8.93
2008-08-12,11.63,-8.48
2008-08-13,9.20,-11.55
2008-08-14,11.61,-9.47
2008-08-15,11.66,-7.50
2008-08-16,12.28,-8.04
2008-08-17,12.06,-8.03
2008-08-18,11.13,-8.32
2008-08-19,13.06,-8.21
2008-08-20,10.55,-10.83
2008-08-21,11.99,-11.23
2008-08-22,12.73,-9.42
2008-08-23,12.90,-9.39
2008-08-24,13.41,-11.23
2008-08-25,14.15,-9.86
2008-08-26,13.27,-8.94
2008-08-27,13.31,-8.62
2008-08-28,13.67,-9.94
2008-08-29,13.36,-10.03
2008-08-30,13.05,-9.87
2008-08-31,14.91,-8.02
2008-09-01,13.53,-10.53
2008-09-02,14.04,-10.91
2008-09-03,15.29,-10.55
2008-09-04,13.78,-10.17
2008-09-05,14.06,-10.74
2008-09-06,14.43,-10.21
2008-09-07,13.24,-9.75
2008-09-08,14.36,-9.93
2008-09-09,14.27,-10.82
2008-09-10,15.22,-9.91
2008-09-11,15.14,-8.81
2008-09-12,13.57,-11.23
2008-09-13,14.91,-10.84
2008-09-14,15.22,-11.20
2008-09-15,14.79,-11.06
2008-09-16,14.69,-12.67
2008-09-17,14.14,-11.32
2008-09-18,14.79,-10.88
2008-09-19,16.35,-12.45
2008-09-20,15.34,-12.03
2008-09-21,14.70,-13.27
2008-09-22,13.80,-15.09
2008-09-23,15.80,-12.18
2008-09-24,16.64,-11.39
2008-09-25,14.22,-12.75
2008-09-26,15.05,-11.38
2008-09-27,16.16,-12.22
2008-09-28,14.96,-11.95
2008-09-29,15.53,-11.34
2008-09-30,16.88,-12.31
2008-10-01,16.77,-11.66
2008-10-02,16.97,-11.85
2008-10-03,18.23,-12.67
2008-10-04,15.86,-11.78
2008-10-05,15.01,-15.58
2008-10-06,14.84,-17.81
2008-10-07,15.78,-12.33
2008-10-08,18.10,-11.91
2008-10-09,16.65,-12.94
2008-10-10,15.03,-14.75
2008-10-11,15.41,-14.01
2008-10-12,15.38,-13.79
2008-10-13,16.82,-15.30
2008-10-14,16.81,-13.79
2008-10-15,18.04,-12.91
2008-10-16,17.24,-12.70
2008-10-17,16.68,-13.09
2008-10-18,16.79,-13.95
2008-10-19,17.97,-13.79
2008-10-20,16.40,-15.19
2008-10-21,17.18,-12.54
2008-10-22,16.53,-13.89
2008-10-23,18.14,-12.69
2008-10-24,18.68,-14.12
2008-10-25,19.53,-13.66
2008-10-26,18.82,-14.07
2008-10-27,18.34,-13.49
2008-10-28,18.68,-13.97
2008-10-29,18.10,-13.96
2008-10-30,18.88,-14.05
2008-10-31,19.85,-10.86
2008-11-01,19.07,-12.67
2008-11-02,19.00,-12.52
2008-11-03,18.51,-15.08
2008-11-04,18.76,-14.83
2008-11-05,18.29,-17.03
2008-11-06,20.25,-15.24
2008-11-07,19.19,-14.67
2008-11-08,18.99,-15.50
2008-11-09,19.82,-16.55
2008-11-10,19.11,-17.00
2008-11-11,22.12,-16.31
2008-11-12,22.45,-15.36
2008-11-13,22.65,-14.61
2008-11-14,22.09,-15.03
2008-11-15,20.52,-12.99
2008-11-16,21.56,-14.73
2008-11-17,20.80,-15.39
2008-11-18,20.79,-14.70
2008-11-19,20.50,-15.44
2008-11-20,20.78,-15.82
2008-11-21,18.46,-19.14
2008-11-22,21.79,-15.70
2008-11-23,20.98,-16.32
2008-11-24,21.94,-16.48
2008-11-25,21.23,-16.03
2008-11-26,20.41,-16.31
2008-11-27,20.31,-15.78
2008-11-28,19.03,-23.08
2008-11-29,20.24,-14.92
2008-11-30,21.51,-16.34
2008-12-01,22.06,-15.52
2008-12-02,20.33,-16.20
2008-12-03,20.68,-16.12
2008-12-04,21.89,-16.47
2008-12-05,22.65,-16.97
2008-12-06,22.83,-16.04
2008-12-07,21.94,-15.51
2008-12-08,23.20,-17.06
2008-12-09,22.56,-17.49
2008-12-10,23.73,-16.84
2008-12-11,22.45,-16.48
2008-12-12,20.84,-16.64
2008-12-13,23.61,-16.36
2008-12-14,22.99,-17.04
2008-12-15,23.64,-17.61
2008-12-16,23.09,-15.97
2008-12-17,23.74,-16.95
2008-12-18,24.24,-16.29
2008-12-19,21.43,-16.59
2008-12-20,23.29,-19.33
2008-12-21,23.31,-18.14
2008-12-22,23.72,-18.14
2008-12-23,24.00,-18.40
2008-12-24,25.18,-17.13
2008-12-25,24.73,-17.47
2008-12-26,24.46,-17.81
2008-12-27,23.88,-17.97
2008-12-28,22.62,-18.86
2008-12-29,23.04,-17.75
2008-12-30,22.97,-18.37
2008-12-31,23.18,-19.31
2009-01-01,23.34,-19.17
2009-01-02,22.79,-18.55
2009-01-03,22.15,-20.42
2009-01-04,23.16,-19.30
2009-01-05,23.18,-19.35
2009-01-06,24.87,-19.79
2009-01-07,22.80,-19.60
2009-01-08,25.44,-19.32
2009-01-09,24.05,-18.20
2009-01-10,24.41,-19.16
2009-01-11,22.79,-19.89
2009-01-12,23.59,-18.98
2009-01-13,24.64,-18.26
2009-01-14,24.13,-19.27
2009-01-15,23.80,-19.94
2009-01-16,25.25,-18.58
2009-01-17,24.03,-19.64
2009-01-18,24.70,-18.86
2009-01-19,24.67,-18.40
2009-01-20,24.04,-18.11
2009-01-21,24.02,-20.49
2009-01-22,24.29,-19.59
2009-01-23,23.82,-20.26
2009-01-24,25.40,-20.13
2009-01-25,24.03,-20.20
2009-01-26,24.92,-22.05
2009-01-27,26.66,-20.17
2009-01-28,25.42,-20.90
2009-01-29,25.59,-18.90
2009-01-30,26.23,-19.46
2009-01-31,26.01,-20.34
2009-02-01,25.40,-21.66
2009-02-02,25.59,-20.12
2009-02-03,25.96,-20.52
2009-02-04,26.10,-20.38
2009-02-05,25.44,-21.02
2009-02-06,27.04,-20.76
2009-02-07,27.08,-20.20
2009-02-08,25.08,-22.33
