PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P519
Station name, PaintedCavCS2007
Begin Date, 2007-06-01
End Date, 2020-08-31
Release Date, 2020-09-01
Source file, P519.cwu.nam14.pos
Offset from source file, 183.77 mm North, -177.68 mm East, -4.94 mm Vertical
Reference position, 34.5078121050 North Latitude, -119.7924387741 East Longitude, 810.91398 meters elevation
Date,North (mm),East (mm)
2007-06-01,0.00,0.00
2007-06-02,0.18,0.93
2007-06-03,1.08,0.26
2007-06-04,1.40,1.48
2007-06-05,0.94,1.10
2007-06-06,-1.84,1.24
2007-06-07,-0.08,-0.35
2007-06-08,1.99,-0.30
2007-06-09,2.40,0.95
2007-06-10,2.20,0.25
2007-06-11,2.08,0.17
2007-06-12,0.78,-0.56
2007-06-13,1.90,-1.55
2007-06-14,1.21,0.76
2007-06-15,2.27,0.81
2007-06-16,2.33,-1.07
2007-06-17,2.05,-0.23
2007-06-18,2.03,-0.12
2007-06-19,1.57,0.07
2007-06-20,2.74,-0.22
2007-06-21,2.42,0.01
2007-06-22,1.69,0.08
2007-06-23,2.77,0.51
2007-06-24,1.38,-0.14
2007-06-25,1.86,0.10
2007-06-26,3.13,-0.36
2007-06-27,2.73,-1.17
2007-06-28,3.04,0.86
2007-06-29,3.39,0.12
2007-06-30,1.56,0.58
2007-07-01,3.43,-0.07
2007-07-02,2.07,-0.20
2007-07-03,3.81,-0.15
2007-07-04,4.02,-0.24
2007-07-05,3.08,-0.63
2007-07-06,4.66,-1.72
2007-07-07,3.20,-1.43
2007-07-08,2.79,-1.75
2007-07-09,3.90,-0.41
2007-07-10,3.35,-1.41
2007-07-11,3.56,-0.16
2007-07-12,4.04,-2.10
2007-07-13,4.27,-0.92
2007-07-14,5.63,-0.84
2007-07-15,6.43,-0.07
2007-07-16,5.02,-1.99
2007-07-17,4.41,-2.50
2007-07-18,4.98,-3.40
2007-07-19,5.23,-1.00
2007-07-20,5.21,-2.23
2007-07-21,6.13,-0.59
2007-07-22,5.03,-1.93
2007-07-23,6.70,-3.13
2007-07-24,6.00,-2.71
2007-07-25,4.54,-2.10
2007-07-26,6.63,-2.19
2007-07-27,4.90,-1.46
2007-07-28,6.50,-3.10
2007-07-29,6.02,-2.96
2007-07-30,6.14,-3.67
2007-07-31,5.86,-2.96
2007-08-01,6.35,-3.34
2007-08-02,6.36,-3.24
2007-08-03,6.23,-4.02
2007-08-04,7.08,-3.87
2007-08-05,7.28,-2.49
2007-08-06,7.24,-2.74
2007-08-07,8.04,-4.86
2007-08-08,6.93,-3.64
2007-08-09,6.79,-2.97
2007-08-10,7.42,-2.71
2007-08-11,7.26,-2.98
2007-08-12,8.58,-3.96
2007-08-13,7.97,-4.71
2007-08-14,8.58,-4.34
2007-08-15,7.22,-4.11
2007-08-16,8.30,-4.80
2007-08-17,8.36,-4.22
2007-08-18,8.13,-3.78
2007-08-19,9.86,-5.25
2007-08-20,8.66,-5.52
2007-08-21,10.61,-3.92
2007-08-22,8.86,-4.76
2007-08-23,8.10,-5.16
2007-08-24,8.81,-4.35
2007-08-25,10.60,-4.88
2007-08-26,10.31,-4.07
2007-08-27,9.47,-4.25
2007-08-28,9.52,-5.84
2007-08-29,8.35,-5.85
2007-08-30,8.80,-5.52
2007-08-31,8.97,-5.53
2007-09-01,8.85,-6.08
2007-09-02,10.53,-5.29
2007-09-03,9.09,-7.95
2007-09-04,10.17,-7.40
2007-09-05,8.97,-6.34
2007-09-06,9.68,-6.13
2007-09-07,8.83,-5.77
2007-09-08,10.42,-5.15
2007-09-09,9.42,-6.08
2007-09-10,9.79,-7.46
2007-09-11,8.70,-7.43
2007-09-12,9.08,-9.36
2007-09-13,8.74,-6.50
2007-09-14,11.66,-6.86
2007-09-15,11.06,-7.42
