Date, North (mm), East (mm), Vertical (mm)
2006-07-19,0.00,0.00,0.00
2006-07-20,0.90,1.50,-6.06
2006-07-21,1.81,2.32,-5.21
2006-07-22,1.78,1.53,-7.92
2006-07-23,0.64,-0.87,-3.72
2006-07-24,1.75,0.96,-1.98
2006-07-25,1.67,0.94,-8.56
2006-07-26,1.25,-0.90,-5.28
2006-07-27,1.43,-0.37,-3.85
2006-07-28,1.59,0.66,-7.02
2006-07-29,1.80,0.19,-17.24
2006-07-30,2.07,-0.91,-2.82
2006-07-31,0.15,0.98,2.68
2006-08-01,1.03,0.25,-2.20
2006-08-02,-0.52,0.47,-4.98
2006-08-03,0.61,-0.24,-0.77
2006-08-04,1.57,-0.35,-1.74
2006-08-05,3.05,-0.71,-9.73
2006-08-06,0.17,1.39,-14.05
2006-08-07,1.81,0.81,-4.85
2006-08-08,0.25,-0.06,-5.53
2006-08-09,1.48,0.47,-12.24
2006-08-10,2.63,-0.05,-3.77
2006-08-11,2.60,-1.25,-2.58
2006-08-12,1.59,-0.28,0.85
2006-08-13,0.45,-0.64,0.44
2006-08-14,1.90,-1.66,-4.41
2006-08-15,2.80,-0.48,-0.43
2006-08-16,2.87,-1.22,-8.07
2006-08-17,1.85,-0.34,-4.04
2006-08-18,2.20,-0.58,-5.48
2006-08-19,1.78,0.58,-9.80
2006-08-20,0.96,-0.11,-3.52
2006-08-21,3.06,0.70,-8.95
2006-08-22,1.90,-1.52,-8.80
2006-08-23,1.22,-0.02,2.14
2006-08-24,2.38,-0.63,-1.81
2006-08-25,2.67,-1.36,4.75
2006-08-26,0.98,-1.50,0.15
2006-08-27,2.33,-1.13,-6.28
2006-08-28,0.39,0.09,-1.95
2006-08-29,1.55,0.60,-2.51
2006-08-30,2.55,-0.58,-3.68
2006-08-31,2.66,-0.69,-4.86
2006-09-01,1.47,-1.43,-1.88
2006-09-02,2.48,-1.76,-4.55
2006-09-03,2.38,0.34,-8.89
2006-09-04,2.24,-0.47,-8.67
2006-09-05,2.00,0.53,-9.41
2006-09-06,2.78,-2.30,-9.37
2006-09-07,1.73,-0.82,-2.12
2006-09-08,1.28,-0.12,-0.42
2006-09-09,3.67,-1.92,-1.47
2006-09-10,2.40,-1.47,-6.73
2006-09-11,2.65,-0.54,-9.92
2006-09-12,2.86,-1.57,-11.50
2006-09-13,3.35,0.06,-1.14
2006-09-14,3.36,-1.67,-8.00
2006-09-15,2.71,-1.92,-4.52
2006-09-16,3.07,-2.29,-4.77
2006-09-17,2.80,-0.56,-4.14
2006-09-18,3.44,-1.08,-3.26
2006-09-19,2.88,-1.94,-0.50
2006-09-20,2.52,-2.64,-6.62
2006-09-21,2.39,-2.06,-4.18
2006-09-22,1.77,-2.52,-4.80
2006-09-23,4.07,-2.15,-6.08
2006-09-24,3.69,-2.22,-4.14
2006-09-25,1.88,-2.40,-0.46
2006-09-26,1.96,-0.83,-9.23
2006-09-27,4.02,-1.74,-9.80
2006-09-28,3.32,-1.85,-5.47
2006-09-29,3.91,-3.33,1.90
2006-09-30,3.88,-2.35,0.11
2006-10-01,2.33,-2.01,3.18
2006-10-02,3.69,-1.97,-11.90
2006-10-03,3.12,-2.23,-13.19
2006-10-04,3.46,-2.26,-9.63
2006-10-05,2.97,-2.72,-3.36
2006-10-06,4.55,-2.38,-10.01
2006-10-07,3.58,-2.36,-14.77
2006-10-08,3.78,-2.72,-13.71
2006-10-09,4.11,-2.78,-11.86
2006-10-10,3.02,-3.09,-8.86
2006-10-11,4.53,-3.44,-1.37
2006-10-12,5.64,-1.25,-8.22
2006-10-13,2.17,-3.90,-0.74
2006-10-14,3.20,-2.38,1.24
2006-10-15,2.29,-3.13,2.98
2006-10-16,2.68,-5.37,8.51
2006-10-17,2.18,-4.39,4.82
2006-10-18,5.78,-0.34,-2.86
2006-10-19,3.61,-4.14,-1.36
2006-10-20,4.30,-3.04,-3.94
2006-10-21,4.38,-3.97,-5.00
2006-10-22,4.45,-3.31,-2.80
2006-10-23,5.05,-2.01,-9.37
2006-10-24,4.45,-3.57,-5.00
2006-10-25,4.13,-3.67,-3.28
2006-10-26,5.71,-3.73,-8.75
2006-10-27,6.34,-4.21,-8.35
2006-10-28,3.87,-3.30,-3.65
2006-10-29,3.20,-3.06,-1.22
2006-10-30,4.12,-2.79,-1.25
2006-10-31,4.79,-3.52,-6.23
2006-11-01,4.91,-2.48,-6.34
2006-11-02,5.13,-2.83,-7.32
2006-11-03,3.71,-3.30,-0.95
2006-11-04,5.21,-3.27,-10.93
2006-11-05,4.83,-3.48,-10.61
2006-11-06,5.09,-3.86,-11.33
2006-11-07,5.49,-2.87,-5.13
2006-11-08,3.99,-4.14,2.82
2006-11-09,4.84,-3.12,-4.80
2006-11-10,4.61,-4.23,-2.31
2006-11-11,4.19,-4.48,-7.51
2006-11-12,4.06,-4.85,-8.02
2006-11-13,6.70,-4.63,-3.18
2006-11-14,6.68,-6.23,-14.19
2006-11-15,5.50,-4.01,-7.92
2006-11-16,5.93,-4.51,-5.81
2006-11-17,5.62,-4.14,-8.48
2006-11-18,5.32,-4.03,-8.19
2006-11-19,4.79,-4.60,-9.41
2006-11-20,4.63,-4.16,-8.17
2006-11-21,6.11,-3.94,-10.54
2006-11-22,6.15,-4.70,-11.02
2006-11-23,5.33,-4.13,-12.41
2006-11-24,5.39,-5.02,-8.25
2006-11-25,5.21,-3.69,-9.07
2006-11-26,4.72,-4.60,-9.44
2006-11-27,4.90,-7.55,-16.74
2006-11-28,3.48,-8.80,-10.78
2006-11-29,5.82,-5.22,-9.58
2006-11-30,5.07,-4.32,-12.73
2006-12-01,5.36,-3.57,-14.26
2006-12-02,4.65,-4.73,-11.51
2006-12-03,6.48,-5.02,-11.20
2006-12-04,6.45,-4.58,-16.73
2006-12-05,6.78,-3.99,-8.02
2006-12-06,7.07,-5.59,-7.72
2006-12-07,7.02,-6.20,-6.82
2006-12-08,7.09,-5.32,3.27
2006-12-09,6.76,-5.45,-7.53
2006-12-10,5.31,-6.62,-17.50
2006-12-11,6.74,-7.52,-12.89
2006-12-12,7.46,-5.59,-14.96
2006-12-13,5.16,-5.82,-13.94
2006-12-14,7.53,-5.80,-9.61
2006-12-15,7.08,-6.44,-9.43
2006-12-16,6.63,-6.45,-8.59
2006-12-17,6.12,-6.51,-12.71
2006-12-18,7.01,-5.35,-6.27
2006-12-19,8.09,-5.21,-9.31
2006-12-20,7.12,-5.16,-8.04
2006-12-21,7.00,-5.52,-12.91
2006-12-22,6.52,-6.12,-11.83
2006-12-23,7.43,-5.29,-8.42
2006-12-24,6.93,-5.07,-9.71
2006-12-25,7.58,-4.91,-16.95
2006-12-26,8.26,-6.68,-13.69
2006-12-27,9.45,-8.39,-8.49
2006-12-28,5.49,-7.05,-14.38
2006-12-29,7.58,-5.32,-10.34
2006-12-30,8.14,-5.60,-11.30
2006-12-31,7.63,-6.11,-9.17
2007-01-01,7.10,-6.15,-12.36
2007-01-02,7.20,-4.05,-10.80
2007-01-03,8.56,-4.69,-6.41
2007-01-04,7.37,-6.89,-6.53
2007-01-05,5.91,-5.88,-14.21
2007-01-06,9.01,-5.29,-15.78
2007-01-07,9.61,-4.18,-19.07
2007-01-08,9.60,-6.63,-15.68
2007-01-09,8.22,-6.96,-10.29
2007-01-10,7.64,-5.64,-10.91
2007-01-11,7.87,-6.33,-12.02
2007-01-12,7.18,-5.33,-18.46
2007-01-13,7.63,-5.75,-20.14
2007-01-14,8.02,-5.75,-18.89
2007-01-15,10.70,-4.27,-20.91
2007-01-16,10.72,-4.99,-17.63
2007-01-17,8.48,-5.66,-16.47
2007-01-18,8.69,-5.85,-22.35
2007-01-19,9.54,-5.61,-18.04
2007-01-20,8.63,-5.87,-13.20
2007-01-21,8.67,-6.10,-17.68
2007-01-22,9.78,-5.20,-16.55
2007-01-23,9.03,-5.75,-20.23
2007-01-24,8.68,-6.35,-17.78
2007-01-25,7.97,-5.87,-17.57
2007-01-26,8.07,-5.37,-13.98
2007-01-27,9.01,-6.66,-17.11
2007-01-28,9.34,-4.89,-16.79
2007-01-29,9.25,-6.62,-11.58
2007-01-30,8.78,-7.56,-14.43
2007-01-31,7.78,-6.17,-8.94
2007-02-01,8.54,-6.14,-15.20
2007-02-02,8.62,-4.72,-15.95
2007-02-03,9.09,-5.40,-16.42
2007-02-04,9.49,-4.74,-18.51
2007-02-05,10.08,-6.40,-19.08
2007-02-06,9.45,-5.55,-20.92
2007-02-07,8.84,-5.70,-20.46
2007-02-08,8.59,-6.09,-16.88
2007-02-09,9.50,-5.85,-18.13
2007-02-10,9.07,-4.53,-15.15
2007-02-11,7.64,-6.16,-10.85
2007-02-12,9.11,-6.93,-24.96
2007-02-13,6.41,-5.80,-12.06
2007-02-14,8.73,-6.42,-16.70
2007-02-15,10.15,-4.67,-18.39
2007-02-16,10.04,-5.28,-15.32
2007-02-17,9.06,-5.00,-5.64
2007-02-18,10.16,-6.29,-8.49
2007-02-19,6.78,-6.62,-1.58
2007-02-20,9.43,-6.71,-7.19
2007-02-21,9.68,-6.23,-8.56
2007-02-22,7.54,-6.59,-17.35
2007-02-23,8.19,-8.59,-14.55
2007-02-24,9.16,-6.36,-8.71
2007-02-25,9.63,-7.69,-7.86
2007-02-26,10.81,-7.26,-19.49
2007-02-27,5.43,-7.39,-5.21
2007-02-28,8.65,-7.52,-4.44
2007-03-01,9.49,-7.24,-4.30
2007-03-02,11.30,-7.46,-14.06
2007-03-03,10.65,-7.45,-15.69
2007-03-04,10.56,-8.02,-13.47
2007-03-05,10.36,-7.19,-14.53
2007-03-06,10.31,-6.65,-12.36
2007-03-07,10.13,-6.75,-9.66
2007-03-08,9.95,-7.66,-8.38
2007-03-09,10.30,-7.36,-13.88
2007-03-10,9.29,-6.92,-14.08
2007-03-11,10.06,-7.36,-16.56
2007-03-12,10.89,-7.40,-12.78
2007-03-13,9.83,-7.51,-8.16
2007-03-14,9.65,-7.65,-6.71
2007-03-15,10.11,-7.50,-12.99
2007-03-16,10.76,-8.53,-6.43
2007-03-17,10.30,-7.76,-3.87
2007-03-18,10.57,-8.87,-3.67
2007-03-19,10.64,-8.69,-11.33
2007-03-20,10.18,-8.99,-2.53
2007-03-21,9.76,-9.05,-3.29
2007-03-22,11.87,-7.31,0.27
2007-03-23,11.02,-8.84,-7.98
2007-03-24,10.91,-8.56,-5.22
2007-03-25,10.75,-9.16,-3.94
2007-03-26,10.78,-8.74,-7.95
2007-03-27,8.46,-8.77,-9.33
2007-03-28,11.80,-10.51,-12.94
2007-03-29,10.50,-8.40,-8.55
2007-03-30,11.55,-7.64,-12.81
2007-03-31,10.52,-6.72,-6.70
2007-04-01,10.55,-8.54,-2.72
2007-04-02,10.56,-7.47,-7.89
2007-04-03,10.77,-9.38,-9.49
