PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P563
Station name, ButtonwillCS2005
Begin Date, 2005-12-17
End Date, 2020-08-31
Release Date, 2020-09-01
Source file, P563.cwu.nam14.pos
Offset from source file, 84.35 mm North, -75.19 mm East, -46.58 mm Vertical
Reference position, 35.4186694765 North Latitude, -119.4211664183 East Longitude, 56.60284 meters elevation
Date,North (mm),East (mm)
2005-12-17,0.00,0.00
2005-12-18,0.75,0.09
2005-12-19,0.10,-0.71
2005-12-20,1.04,0.78
2005-12-21,1.28,-0.81
2005-12-22,0.51,-0.12
2005-12-23,2.42,-0.09
2005-12-24,0.25,-0.39
2005-12-25,-0.96,-0.99
2005-12-26,0.97,-0.32
2005-12-27,-0.25,-0.93
2005-12-28,1.27,0.44
2005-12-29,0.79,0.37
2005-12-30,-0.37,-0.75
2005-12-31,0.89,-1.51
2006-01-01,1.82,-0.74
2006-01-02,3.65,-1.61
2006-01-03,1.53,-0.50
2006-01-04,1.72,-1.95
2006-01-05,1.54,-1.46
2006-01-06,0.49,-1.22
2006-01-07,1.84,-2.36
2006-01-08,1.31,-1.73
2006-01-09,1.55,-1.49
2006-01-10,2.32,-1.78
2006-01-11,3.36,-0.96
2006-01-12,3.11,-1.66
2006-01-13,1.34,-0.85
2006-01-14,2.49,-2.42
2006-01-15,2.29,-2.01
2006-01-16,1.99,-2.74
2006-01-17,1.47,-1.97
2006-01-18,3.75,-2.78
2006-01-19,1.96,-3.25
2006-01-20,2.19,-1.58
2006-01-21,1.72,-1.12
2006-01-22,0.99,-2.05
2006-01-23,2.31,-1.52
2006-01-24,2.08,-1.45
2006-01-25,0.62,-1.73
2006-01-26,2.87,-2.87
2006-01-27,2.16,-2.08
2006-01-28,3.04,-2.26
2006-01-29,1.70,-2.65
2006-01-30,1.18,-1.79
2006-01-31,1.68,-2.27
2006-02-01,2.45,-2.76
2006-02-02,2.81,-2.68
2006-02-03,1.96,-3.15
2006-02-04,1.96,-2.78
2006-02-05,2.98,-2.40
2006-02-06,2.50,-2.13
2006-02-07,2.68,-1.84
2006-02-08,4.21,-2.30
2006-02-09,3.66,-2.41
2006-02-10,2.40,-2.30
2006-02-11,3.19,-1.45
2006-02-12,4.35,-2.30
2006-02-13,4.57,-1.61
2006-02-14,2.75,-2.06
2006-02-15,3.85,-2.10
2006-02-16,3.58,-1.42
2006-02-17,3.14,-1.40
2006-02-18,3.81,-1.72
2006-02-19,4.24,-2.07
2006-02-20,3.73,-1.65
2006-02-21,3.90,-1.31
2006-02-22,4.79,-0.30
2006-02-23,4.29,-0.71
2006-02-24,4.46,-0.78
2006-02-25,3.69,-1.46
2006-02-26,2.80,-3.36
2006-02-27,6.21,-0.51
2006-02-28,2.43,-4.93
2006-03-01,4.87,-0.71
2006-03-02,4.43,-1.66
2006-03-03,4.06,-2.39
2006-03-04,4.86,-2.03
2006-03-05,3.98,-1.97
2006-03-06,5.48,-1.96
2006-03-07,5.19,-1.54
2006-03-08,5.61,-2.40
2006-03-09,4.98,-3.33
2006-03-10,3.59,-3.45
2006-03-11,3.50,-3.04
2006-03-12,4.72,-3.10
2006-03-13,5.43,-3.39
2006-03-14,4.63,-2.81
2006-03-15,3.56,-2.55
2006-03-16,4.27,-2.99
2006-03-17,4.00,-3.30
2006-03-18,6.29,-1.28
2006-03-19,4.21,-4.98
2006-03-20,5.07,-4.19
2006-03-21,4.94,-3.30
