PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P567
Station name, RioBravo__CS2005
Begin Date, 2005-07-22
End Date, 2020-08-31
Release Date, 2020-09-01
Source file, P567.cwu.nam14.pos
Offset from source file, 78.20 mm North, -77.42 mm East, 6.32 mm Vertical
Reference position, 35.4209465988 North Latitude, -118.7535774105 East Longitude, 706.32453 meters elevation
Date,North (mm),East (mm)
2005-07-22,0.00,0.00
2005-07-23,0.00,1.62
2005-07-24,-0.25,2.79
2005-07-25,2.00,1.01
2005-07-26,0.53,1.01
2005-07-27,1.41,1.36
2005-07-28,0.35,2.35
2005-07-29,0.34,0.61
2005-07-30,0.76,1.29
2005-07-31,1.66,2.08
2005-08-01,1.31,1.12
2005-08-02,0.85,1.59
2005-08-03,0.30,0.94
2005-08-04,0.33,1.04
2005-08-05,-0.09,2.75
2005-08-06,0.80,1.70
2005-08-07,2.12,1.39
2005-08-08,0.76,1.10
2005-08-09,1.19,1.29
2005-08-10,0.75,1.33
2005-08-11,1.03,2.59
2005-08-12,1.43,0.14
2005-08-13,0.35,0.77
2005-08-14,0.93,1.97
2005-08-15,2.97,-2.00
2005-08-16,1.29,1.72
2005-08-17,2.17,1.12
2005-08-18,2.42,0.81
2005-08-19,2.19,0.81
2005-08-20,2.30,1.12
2005-08-21,2.04,2.21
2005-08-22,3.48,1.16
2005-08-23,1.15,1.27
2005-08-24,2.07,1.35
2005-08-25,2.29,0.50
2005-08-26,1.19,0.76
2005-08-27,3.24,0.38
2005-08-28,3.20,1.12
2005-08-29,2.04,0.49
2005-08-30,2.61,1.14
2005-08-31,2.68,0.57
2005-09-01,3.57,0.96
2005-09-02,2.36,1.61
2005-09-03,1.81,0.76
2005-09-04,2.10,0.30
2005-09-05,1.85,0.98
2005-09-06,3.19,0.21
2005-09-07,3.52,-0.45
2005-09-08,3.45,0.78
2005-09-09,2.43,0.23
2005-09-10,2.01,0.84
2005-09-11,4.36,0.08
2005-09-12,3.44,1.02
2005-09-13,3.51,0.72
2005-09-14,3.26,0.76
2005-09-15,4.08,0.98
2005-09-16,3.85,-0.49
2005-09-17,4.61,0.39
2005-09-18,4.38,0.93
2005-09-19,3.76,0.41
2005-09-20,3.53,-1.20
2005-09-21,1.28,-0.95
2005-09-22,4.53,-0.16
2005-09-23,4.54,0.05
2005-09-24,4.73,-0.90
2005-09-25,3.70,0.52
2005-09-26,3.54,0.57
2005-09-27,3.12,1.00
2005-09-28,3.73,-0.32
2005-09-29,4.20,-0.86
2005-09-30,4.99,-0.07
2005-10-01,4.02,-0.66
2005-10-02,3.78,0.09
2005-10-03,4.44,-1.47
2005-10-04,4.99,-0.87
2005-10-05,3.14,-0.58
2005-10-06,4.03,-0.62
2005-10-07,4.54,-0.66
2005-10-08,2.61,-0.63
2005-10-09,5.12,-1.57
2005-10-10,4.30,-1.39
2005-10-11,4.52,-0.99
2005-10-12,4.77,-1.30
2005-10-13,4.53,-0.86
2005-10-14,4.48,-0.81
2005-10-15,4.64,-0.50
2005-10-16,2.98,-2.25
2005-10-17,4.97,-0.26
2005-10-18,5.97,-0.66
2005-10-19,4.78,-1.78
2005-10-20,3.77,-1.66
2005-10-21,5.02,-1.08
2005-10-22,4.79,-1.44
2005-10-23,5.71,-1.30
2005-10-24,4.85,-2.08
2005-10-25,5.74,-1.80
2005-10-26,5.21,-2.26
2005-10-27,4.81,-1.78
2005-10-28,5.80,-2.56
2005-10-29,5.43,-2.42
2005-10-30,5.54,-1.65
2005-10-31,6.03,-0.51
2005-11-01,5.97,-0.71
2005-11-02,5.91,-1.78
2005-11-03,6.45,-2.31
2005-11-04,5.04,-1.31
2005-11-05,5.25,-0.78
2005-11-06,4.38,-0.64
2005-11-07,5.92,-1.32
2005-11-08,4.53,-0.89
2005-11-09,3.63,-1.04
2005-11-10,6.03,-3.13
2005-11-11,5.81,-2.13
2005-11-12,5.34,-0.89
2005-11-13,5.64,-1.45
2005-11-14,5.66,-1.99
2005-11-15,6.51,-2.18
2005-11-16,6.71,-2.18
2005-11-17,6.17,-2.17
2005-11-18,5.23,-2.23
2005-11-19,6.13,-2.08
2005-11-20,4.79,-3.01
2005-11-21,5.75,-3.81
2005-11-22,4.91,-2.98
2005-11-23,4.90,-2.00
2005-11-24,5.32,-2.57
2005-11-25,5.31,-2.95
2005-11-26,4.67,-0.77
2005-11-27,4.89,-3.29
2005-11-28,6.39,-1.73
2005-11-29,6.15,-4.05
2005-11-30,6.03,-2.78
2005-12-01,5.33,-2.79
2005-12-02,5.28,-3.20
2005-12-03,5.44,-3.44
2005-12-04,6.24,-2.85
2005-12-05,5.98,-2.44
2005-12-06,5.36,-2.90
2005-12-07,5.55,-3.23
2005-12-08,5.81,-2.33
2005-12-09,6.37,-4.01
2005-12-10,6.24,-3.75
2005-12-11,6.10,-3.42
2005-12-12,6.00,-3.24
2005-12-13,6.40,-3.20
2005-12-14,6.45,-3.77
2005-12-15,7.46,-3.13
2005-12-16,6.28,-3.38
2005-12-17,5.81,-3.96
2005-12-18,6.70,-3.67
2005-12-19,5.71,-3.30
2005-12-20,7.94,-3.18
2005-12-21,6.96,-3.14
2005-12-22,7.20,-3.88
2005-12-23,7.29,-4.34
2005-12-24,6.55,-3.18
2005-12-25,6.31,-4.49
2005-12-26,7.32,-3.34
2005-12-27,7.31,-3.19
2005-12-28,7.27,-3.57
2005-12-29,5.29,-3.52
2005-12-30,5.77,-3.86
2005-12-31,6.28,-4.53
2006-01-01,6.89,-3.51
2006-01-02,5.94,-2.24
2006-01-03,6.13,-4.09
2006-01-04,7.10,-3.92
2006-01-05,7.54,-3.56
2006-01-06,7.75,-4.25
2006-01-07,6.94,-3.81
2006-01-08,7.41,-3.62
2006-01-09,6.70,-4.41
2006-01-10,7.76,-4.08
2006-01-11,9.12,-3.82
2006-01-12,8.42,-3.95
2006-01-13,8.35,-4.75
