PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P571
Station name, SpringvillCS2005
Begin Date, 2005-07-22
End Date, 2020-08-31
Release Date, 2020-09-01
Source file, P571.cwu.nam14.pos
Offset from source file, 71.77 mm North, -65.42 mm East, 0.43 mm Vertical
Reference position, 36.2313658400 North Latitude, -118.766716037 East Longitude, 914.19569 meters elevation
Date,North (mm),East (mm)
2005-07-22,0.00,0.00
2005-07-23,0.75,0.17
2005-07-24,-0.22,2.07
2005-07-25,1.93,0.49
2005-07-26,1.61,-0.18
2005-07-27,0.73,-0.22
2005-07-28,0.77,0.52
2005-07-29,-1.38,-1.16
2005-07-30,1.90,-0.80
2005-07-31,0.79,0.37
2005-08-01,-0.75,-0.36
2005-08-02,0.53,-0.52
2005-08-03,0.03,0.20
2005-08-04,0.25,0.71
2005-08-05,-1.00,-0.40
2005-08-06,0.26,1.68
2005-11-29,3.30,-5.52
2005-11-30,1.63,-3.14
2005-12-01,2.07,-4.32
2005-12-02,-29.76,152.07
2005-12-03,4.90,-4.16
2005-12-04,5.85,-3.13
2005-12-05,4.52,-3.39
2005-12-06,5.59,-2.83
2005-12-07,5.28,-3.49
2005-12-08,5.37,-3.34
2005-12-09,5.61,-4.06
2005-12-10,6.80,-2.94
2005-12-11,5.39,-3.51
2005-12-12,4.00,-3.23
2005-12-13,5.41,-4.04
2005-12-14,5.58,-4.23
2005-12-15,5.16,-4.27
2005-12-16,5.19,-4.03
2005-12-17,4.80,-4.65
2005-12-18,5.10,-3.92
2005-12-19,5.84,-4.29
2005-12-20,6.38,-3.97
2005-12-21,6.32,-3.39
2005-12-22,6.15,-4.69
2005-12-23,6.04,-4.06
2005-12-24,6.01,-4.62
2005-12-25,5.65,-3.73
2005-12-26,6.31,-5.28
2005-12-27,4.83,-4.85
2005-12-28,5.89,-4.15
2005-12-29,5.24,-4.51
2005-12-30,2.43,-4.27
2005-12-31,5.63,-4.72
2006-01-01,6.66,-5.45
2006-01-02,5.29,-4.20
2006-01-03,5.97,-4.96
2006-01-04,5.95,-4.94
2006-01-05,6.53,-3.93
2006-01-06,7.61,-4.87
2006-01-07,7.62,-4.44
2006-01-08,7.09,-5.51
2006-01-09,7.44,-4.34
2006-01-10,6.65,-4.64
2006-01-11,7.06,-3.65
2006-01-12,7.58,-5.62
2006-01-13,6.00,-4.95
2006-01-14,5.31,-4.52
2006-01-15,5.65,-4.31
2006-01-16,6.29,-4.80
2006-01-17,7.34,-5.13
2006-01-18,8.46,-4.99
