PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P573
Station name, Blackrock_CS2008
Begin Date, 2008-09-25
End Date, 2020-08-31
Release Date, 2020-09-01
Source file, P573.cwu.nam14.pos
Offset from source file, 50.74 mm North, -46.15 mm East, -11.34 mm Vertical
Reference position, 36.0930945925 North Latitude, -118.260499205 East Longitude, 2441.38119 meters elevation
Date,North (mm),East (mm)
2008-09-25,0.00,0.00
2008-09-26,-1.59,0.32
2008-09-27,-0.42,1.67
2008-09-28,1.25,0.94
2008-09-29,0.81,0.90
2008-09-30,1.09,-0.11
2008-10-01,1.08,0.78
2008-10-02,0.18,1.41
2008-10-03,1.83,-0.30
2008-10-04,0.07,1.22
2008-10-05,0.61,0.89
2008-10-06,1.55,0.70
2008-10-07,0.94,0.43
2008-10-08,-0.27,0.67
2008-10-09,0.13,1.54
2008-10-10,0.75,-0.40
2008-10-11,-0.31,-0.16
2008-10-12,0.45,0.75
2008-10-13,0.35,1.20
2008-10-14,0.62,3.38
2008-10-15,0.22,1.44
2008-10-16,0.87,1.15
2008-10-17,0.57,0.30
2008-10-18,-0.92,1.59
2008-10-19,0.19,-0.77
2008-10-20,0.75,-0.21
2008-10-21,-0.15,1.11
2008-10-22,0.52,0.37
2008-10-23,0.81,0.76
2008-10-24,1.42,0.62
2008-10-25,1.50,0.89
2008-10-26,0.97,0.59
2008-10-27,1.06,0.31
2008-10-28,0.77,0.51
2008-10-29,0.50,-0.33
2008-10-30,0.28,0.55
2008-10-31,-1.53,-0.36
2008-11-01,-0.65,-0.75
2008-11-02,-0.50,-3.89
2008-11-03,0.62,-0.38
2008-11-04,1.31,-0.81
2008-11-05,1.11,-0.21
2008-11-06,1.75,-0.19
2008-11-07,1.88,0.23
2008-11-08,0.81,-0.22
2008-11-09,0.01,-0.57
2008-11-10,1.28,-0.95
2008-11-11,1.75,-0.79
2008-11-12,2.18,-1.13
2008-11-13,1.51,-0.93
2008-11-14,2.74,-0.69
2008-11-15,1.22,-0.74
2008-11-16,1.35,-0.07
2008-11-17,2.05,-1.41
2008-11-18,1.37,0.50
2008-11-19,1.75,-0.32
2008-11-20,2.31,-0.05
2008-11-21,1.48,-0.46
2008-11-22,1.94,-0.53
2008-11-23,1.64,-1.04
2008-11-24,1.87,-0.51
2008-11-25,2.93,0.58
2008-11-26,2.65,-2.36
2008-11-27,1.63,-0.36
2008-11-28,1.83,-1.83
2008-11-29,2.13,-0.91
2008-11-30,2.07,-0.23
2008-12-01,1.97,-0.82
2008-12-02,1.50,-0.01
2008-12-03,1.41,-0.24
2008-12-04,1.86,-1.05
2008-12-05,2.91,-0.28
2008-12-06,3.48,0.28
2008-12-07,1.52,-0.51
2008-12-08,2.02,-2.22
2008-12-09,3.47,-0.88
2008-12-10,2.81,-1.13
2008-12-11,2.89,-0.25
2008-12-12,2.36,0.47
2008-12-13,2.18,-1.11
2008-12-14,3.24,-0.75
2008-12-15,1.57,-0.81
2008-12-16,1.76,-2.20
2008-12-17,1.25,-1.28
2008-12-18,2.12,-0.46
2008-12-19,2.15,0.19
2008-12-20,2.05,-0.64
2008-12-21,2.20,-0.88
2008-12-22,2.00,-0.40
2008-12-23,2.83,-1.82
2008-12-24,2.67,-0.71
2008-12-25,1.39,-0.82
2008-12-26,2.61,-2.21
2008-12-27,2.11,-0.67
2008-12-28,2.58,-1.51
2008-12-29,2.49,-0.40
2008-12-30,3.11,-1.06
2008-12-31,2.50,-1.15
2009-01-01,2.37,-1.27
2009-01-02,2.99,-0.74
2009-01-03,1.33,-1.28
2009-01-04,2.34,-1.77
2009-01-05,2.15,-2.75
2009-01-06,2.07,-1.13
2009-01-07,2.42,-2.01
2009-01-08,3.89,-1.43
2009-01-09,2.67,-1.55
2009-01-10,2.62,-0.84
2009-01-11,3.59,-1.70
2009-01-12,3.55,-1.55
2009-01-13,3.30,-1.94
2009-01-14,3.10,-0.62
2009-01-15,2.36,-2.12
2009-01-16,1.31,-2.33
2009-01-17,3.23,-1.33
2009-01-18,2.91,-1.18
2009-01-19,3.05,-1.01
2009-01-20,1.75,-0.68
2009-01-21,2.92,-1.07
2009-01-22,1.77,-2.36
2009-01-23,1.22,-2.08
2009-01-24,2.43,-0.48
2009-01-25,2.65,-0.93
2009-01-26,2.62,-3.55
2009-01-27,3.27,-2.70
2009-01-28,3.10,-2.64
2009-01-29,4.44,-0.83
2009-01-30,3.51,-1.59
2009-01-31,3.47,-1.60
2009-02-01,3.25,-2.52
2009-02-02,3.26,-1.58
2009-02-03,3.75,-2.08
2009-02-04,2.69,-2.36
2009-02-05,2.46,-1.79
2009-02-06,2.19,-0.92
2009-02-07,3.22,-2.91
2009-02-08,1.68,-2.67
2009-02-09,3.72,-3.40
2009-02-10,4.06,-4.29
2009-02-11,4.65,-3.46
2009-02-12,3.19,-3.17
2009-02-13,3.68,-3.17
2009-02-14,3.26,-3.17
2009-02-15,4.02,-3.53
2009-02-16,3.35,-4.60
2009-02-17,5.06,-3.40
2009-02-18,4.08,-2.92
2009-02-19,3.65,-3.26
2009-02-20,3.52,-3.07
2009-02-21,3.42,-3.35
2009-02-22,0.74,-3.23
2009-02-23,1.97,-1.72
2009-02-24,4.73,-2.81
2009-02-25,3.63,-4.41
2009-02-26,3.55,-4.41
2009-02-27,4.12,-3.56
2009-02-28,4.17,-3.03
